"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"1","SIDNEY.CROSBY","2008-06-02","DET","C",18.1,0,1,0,0,0,0,0,0,10,9,0,0,0,1,0,1,0,1,1,1,0,3.31,3.31,0,0,0,0,0,NA,0,0.53,0,NA,NA,NA
"2","SIDNEY.CROSBY","2013-05-19","OTT","C",4.8,0,0,0,2,2,0,0.08,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,25,0,1.01,4.04,0,0.75,0,NA,0,0
"3","SIDNEY.CROSBY","2016-11-26","PIT","C",13.99,0,0,0,5,4,4,0.48,4,6,11,0,0,2,2,1,0,1,0,0,0,0,0,0,0,21.44,17.16,17.16,2.04,11.88,17.16,0.35,0,0,0,0
"4","SIDNEY.CROSBY","2016-11-25","PIT","C",15.74,0,0,0,2,2,2,0.2,1,11,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.62,7.62,7.62,0.75,9.84,3.81,0.58,1,0,0,0
"5","SIDNEY.CROSBY","2016-11-23","PIT","C",11.64,2,1,0,4,4,4,0.32,1,5,5,1,0,1,0,1,0,0,1,3,3,10.31,5.15,15.46,10.31,20.62,20.62,20.62,1.65,7.98,5.15,0.5,-1,50,50,50
"6","SIDNEY.CROSBY","2016-11-21","PIT","C",15.47,0,0,0,3,3,2,0.31,1,5,8,1,0,2,0,0,1,0,0,0,0,0,0,0,0,11.64,11.64,7.76,1.19,10.19,3.88,0.38,-1,0,0,0
"7","SIDNEY.CROSBY","2016-11-19","PIT","C",16.34,0,0,0,1,0,0,0,0,9,12,0,0,1,2,1,1,0,0,0,0,0,0,0,0,3.67,0,0,0,NA,0,0.43,0,NA,0,NA
"8","SIDNEY.CROSBY","2016-11-18","PIT","C",14.42,0,0,0,4,3,2,0.16,0,7,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,16.64,12.48,8.32,0.66,5.31,0,0.54,0,0,0,0
"9","SIDNEY.CROSBY","2016-11-16","PIT","C",11.7,0,0,0,1,1,1,0.02,0,4,13,1,1,1,2,1,1,0,0,0,0,0,0,0,0,5.13,5.13,5.13,0.09,1.79,0,0.24,0,0,0,0
"10","SIDNEY.CROSBY","2016-11-12","PIT","C",13.87,1,1,0,7,6,5,0.51,2,9,7,0,0,3,1,0,1,0,1,2,2,4.33,4.33,8.65,4.33,30.28,25.96,21.63,2.2,8.47,8.65,0.56,0,20,14.29,16.67
"11","SIDNEY.CROSBY","2016-11-10","PIT","C",15.76,0,0,0,4,3,3,0.13,0,7,15,0,0,3,1,0,1,0,0,0,0,0,0,0,0,15.23,11.42,11.42,0.48,4.24,0,0.32,0,0,0,0
"12","SIDNEY.CROSBY","2016-11-08","PIT","C",14.29,0,0,0,4,4,2,0.14,0,9,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16.79,16.79,8.4,0.58,3.44,0,0.39,1,0,0,0
"13","SIDNEY.CROSBY","2016-11-05","PIT","C",13.25,2,0,0,4,4,4,0.69,3,9,13,0,0,0,1,2,0,1,0,2,2,9.06,0,9.06,9.06,18.11,18.11,18.11,3.12,17.2,13.58,0.41,0,50,50,50
"14","SIDNEY.CROSBY","2016-11-03","PIT","C",15.59,2,0,0,4,4,2,0.45,2,11,13,0,1,1,2,1,0,1,0,2,2,7.7,0,7.7,7.7,15.39,15.39,7.7,1.71,11.13,7.7,0.46,1,100,50,50
"15","SIDNEY.CROSBY","2016-11-02","PIT","C",13.74,0,1,0,2,2,1,0.17,1,6,8,0,0,1,0,1,0,0,1,1,1,0,4.37,4.37,0,8.73,8.73,4.37,0.76,8.74,4.37,0.43,0,0,0,0
"16","SIDNEY.CROSBY","2016-10-29","PIT","C",15.47,1,0,0,4,4,3,0.41,1,10,7,0,0,0,1,0,2,0,0,1,1,3.88,0,3.88,3.88,15.51,15.51,11.64,1.58,10.16,3.88,0.59,0,33.33,25,25
