"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"1","ALEX.OVECHKIN","2016-11-26","WSH","L",13.26,0,0,1,4,3,1,0.17,0,0,0,0,0,4,3,0,0,1,1,1,0,0,4.52,4.52,0,18.1,13.57,4.52,0.75,5.52,0,NA,0,0,0,0
"2","ALEX.OVECHKIN","2016-11-25","WSH","L",10.63,0,0,0,2,2,1,0.05,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,11.29,11.29,5.64,0.26,2.34,0,NA,-1,0,0,0
"3","ALEX.OVECHKIN","2016-11-23","WSH","L",9.89,2,0,0,5,4,3,0.11,0,0,0,0,0,0,0,0,1,0,0,2,2,12.13,0,12.13,12.13,30.33,24.27,18.2,0.7,2.87,0,NA,0,66.67,40,50
"4","ALEX.OVECHKIN","2016-11-20","WSH","L",13.99,0,0,0,7,4,4,0.29,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,30.02,17.16,17.16,1.22,7.13,4.29,NA,0,0,0,0
"5","ALEX.OVECHKIN","2016-11-18","WSH","L",14.91,0,0,0,5,5,4,0.1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,20.12,20.12,16.1,0.4,1.97,0,NA,0,0,0,0
"6","ALEX.OVECHKIN","2016-11-16","WSH","L",11.47,1,0,0,5,1,1,0.35,1,0,0,0,1,4,0,0,0,0,0,1,1,5.23,0,5.23,5.23,26.16,5.23,5.23,1.81,34.7,5.23,NA,1,100,20,100
"7","ALEX.OVECHKIN","2016-11-15","WSH","L",11.27,0,0,0,4,4,3,0.17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21.3,21.3,15.97,0.9,4.22,0,NA,0,0,0,0
"8","ALEX.OVECHKIN","2016-11-12","WSH","L",14.78,0,0,0,4,4,3,0.28,1,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,16.24,16.24,12.18,1.15,7.08,4.06,NA,-1,0,0,0
"9","ALEX.OVECHKIN","2016-11-11","WSH","L",16.81,0,0,0,2,1,1,0.19,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,3.57,0.68,19.09,3.57,NA,0,0,0,0
"10","ALEX.OVECHKIN","2016-11-08","WSH","L",15.18,0,0,0,7,5,1,0.49,2,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,27.67,19.76,3.95,1.93,9.76,7.91,NA,0,0,0,0
"11","ALEX.OVECHKIN","2016-11-05","WSH","L",11.66,1,1,0,4,4,3,0.18,1,0,0,0,0,0,0,1,0,0,1,2,2,5.15,5.15,10.29,5.15,20.58,20.58,15.44,0.92,4.46,5.15,NA,0,33.33,25,25
"12","ALEX.OVECHKIN","2016-11-03","WSH","L",13.91,1,1,0,2,2,2,0.32,1,0,0,0,0,1,1,0,0,0,1,2,2,4.31,4.31,8.63,4.31,8.63,8.63,8.63,1.37,15.87,4.31,NA,0,50,50,50
"13","ALEX.OVECHKIN","2016-11-01","WSH","L",14.23,0,0,0,7,5,2,0.09,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,29.52,21.08,8.43,0.4,1.9,0,NA,-1,0,0,0
"14","ALEX.OVECHKIN","2016-10-30","WSH","L",12.26,0,0,0,4,2,2,0.13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19.58,9.79,9.79,0.64,6.52,4.89,NA,0,0,0,0
"15","ALEX.OVECHKIN","2016-10-29","WSH","L",13.73,0,0,0,6,5,4,0.45,1,0,1,0,0,3,2,0,2,1,0,0,0,0,0,0,0,26.22,21.85,17.48,1.97,9.01,4.37,0,0,0,0,0
"16","ALEX.OVECHKIN","2016-10-26","WSH","L",13.07,1,0,0,3,3,2,0.26,1,0,0,0,1,5,1,0,0,0,0,1,1,4.59,0,4.59,4.59,13.77,13.77,9.18,1.19,8.62,4.59,NA,1,50,33.33,33.33
"17","ALEX.OVECHKIN","2016-10-22","WSH","L",16.96,1,0,0,6,5,5,0.3,2,0,0,0,0,4,1,0,1,0,0,1,1,3.54,0,3.54,3.54,21.23,17.69,17.69,1.05,5.92,7.08,NA,0,20,16.67,20
"18","ALEX.OVECHKIN","2016-10-20","WSH","L",14.39,1,0,0,4,3,2,0.09,0,0,0,0,0,3,0,0,0,0,0,1,1,4.17,0,4.17,4.17,16.68,12.51,8.34,0.38,3.02,0,NA,0,50,25,33.33
"19","ALEX.OVECHKIN","2016-10-18","WSH","L",11.23,0,1,0,4,3,3,0.32,1,0,0,3,1,1,1,1,2,0,1,1,1,0,5.34,5.34,0,21.37,16.03,16.03,1.71,10.68,5.34,NA,-2,0,0,0
"20","ALEX.OVECHKIN","2016-10-15","WSH","L",10.85,0,0,0,5,2,1,0.07,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,27.65,11.06,5.53,0.41,3.71,0,NA,0,0,0,0
"21","ALEX.OVECHKIN","2016-10-13","WSH","L",15.9,0,0,0,8,4,2,0.19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30.19,15.09,7.55,0.72,4.74,0,NA,0,0,0,0
"22","ALEX.OVECHKIN","2016-05-10","WSH","L",18.28,0,0,0,7,5,4,0.19,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,22.98,16.41,13.13,0.61,3.74,0,NA,-1,0,0,0
"23","ALEX.OVECHKIN","2016-05-07","WSH","L",12.98,0,0,0,3,3,2,0.15,0,0,0,0,1,3,1,1,2,1,0,0,0,0,0,0,0,13.87,13.87,9.24,0.7,5.07,0,NA,1,0,0,0
"24","ALEX.OVECHKIN","2016-05-04","WSH","L",15.91,0,0,0,5,4,4,0.29,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,18.86,15.08,15.08,1.1,7.27,3.77,NA,0,0,0,0
"25","ALEX.OVECHKIN","2016-05-02","WSH","L",15.05,1,0,0,9,6,5,0.64,2,0,0,0,0,9,2,0,0,1,0,1,1,3.99,0,3.99,3.99,35.88,23.92,19.93,2.55,10.67,7.97,NA,0,20,11.11,16.67
"26","ALEX.OVECHKIN","2016-04-30","WSH","L",13.26,0,0,0,8,3,3,0.2,1,0,0,0,0,5,0,1,1,2,0,0,0,0,0,0,0,36.2,13.57,13.57,0.92,6.81,4.52,NA,0,0,0,0
"27","ALEX.OVECHKIN","2016-04-28","WSH","L",17.88,0,1,0,5,3,3,0.2,1,0,0,0,0,6,1,0,0,0,1,1,1,0,3.36,3.36,0,16.78,10.07,10.07,0.66,6.55,3.36,NA,0,0,0,0
"28","ALEX.OVECHKIN","2016-04-24","WSH","L",13.66,0,0,1,4,2,1,0.08,0,0,0,0,0,2,2,0,0,0,1,1,0,0,4.39,4.39,0,17.57,8.78,4.39,0.33,3.78,0,NA,0,0,0,0
"29","ALEX.OVECHKIN","2016-04-22","WSH","L",14.92,0,0,0,9,8,6,0.39,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,36.19,32.17,24.13,1.59,4.94,4.02,NA,0,0,0,0
"30","ALEX.OVECHKIN","2016-04-20","WSH","L",16.71,0,0,0,5,3,1,0.14,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,17.95,10.77,3.59,0.51,4.71,3.59,NA,0,0,0,0
"31","ALEX.OVECHKIN","2016-04-18","WSH","L",9.19,1,0,0,5,2,1,0.08,0,0,0,0,0,3,3,0,0,0,0,1,1,6.53,0,6.53,6.53,32.64,13.06,6.53,0.5,3.86,0,NA,0,100,20,50
"32","ALEX.OVECHKIN","2016-04-16","WSH","L",13.91,0,0,0,4,2,2,0.16,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,17.25,8.63,8.63,0.71,8.2,4.31,NA,0,0,0,0
"33","ALEX.OVECHKIN","2016-04-14","WSH","L",10.03,0,0,0,2,1,0,0.03,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11.96,5.98,0,0.16,2.75,0,NA,0,NA,0,0
"34","ALEX.OVECHKIN","2016-04-09","WSH","L",13.34,3,0,0,10,8,8,0.57,1,0,0,0,1,0,0,0,0,0,0,3,3,13.49,0,13.49,13.49,44.98,35.98,35.98,2.55,7.09,4.5,NA,1,37.5,30,37.5
"35","ALEX.OVECHKIN","2016-04-07","WSH","L",14.23,0,0,0,5,4,3,0.26,1,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,0,21.08,16.87,12.65,1.09,6.43,4.22,NA,1,0,0,0
"36","ALEX.OVECHKIN","2016-04-05","WSH","L",17.67,2,0,0,9,5,4,0.26,1,0,0,0,0,0,2,0,1,1,0,2,2,6.79,0,6.79,6.79,30.56,16.98,13.58,0.9,5.29,3.4,NA,0,50,22.22,40
"37","ALEX.OVECHKIN","2016-04-02","WSH","L",14.98,0,0,0,10,6,3,0.26,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,40.05,24.03,12.02,1.02,4.26,4.01,NA,-1,0,0,0
"38","ALEX.OVECHKIN","2016-04-01","WSH","L",14.24,0,0,0,10,7,5,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.13,29.49,21.07,0.59,2.01,0,NA,0,0,0,0
"39","ALEX.OVECHKIN","2016-03-30","WSH","L",13.28,0,0,0,4,3,2,0.2,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,18.07,13.55,9.04,0.93,6.83,4.52,NA,1,0,0,0
"40","ALEX.OVECHKIN","2016-03-28","WSH","L",10.54,0,0,0,5,2,2,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.46,11.39,11.39,0.31,2.74,0,NA,0,0,0,0
"41","ALEX.OVECHKIN","2016-03-26","WSH","L",14.93,0,0,0,7,3,2,0.38,2,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,28.13,12.06,8.04,1.53,12.72,8.04,NA,1,0,0,0
"42","ALEX.OVECHKIN","2016-03-25","WSH","L",15.3,0,0,0,7,4,3,0.31,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,27.45,15.69,11.76,1.23,7.83,3.92,NA,0,0,0,0
"43","ALEX.OVECHKIN","2016-03-22","WSH","L",14.15,0,0,0,5,3,2,0.2,1,0,0,0,0,4,1,0,1,2,0,0,0,0,0,0,0,21.2,12.72,8.48,0.84,6.62,4.24,NA,0,0,0,0
"44","ALEX.OVECHKIN","2016-03-20","WSH","L",13.35,0,0,0,2,1,1,0.01,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,8.99,4.49,4.49,0.05,1.04,0,NA,0,0,0,0
"45","ALEX.OVECHKIN","2016-03-18","WSH","L",14,0,0,0,5,3,3,0.2,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,21.43,12.86,12.86,0.85,6.64,0,NA,-1,0,0,0
"46","ALEX.OVECHKIN","2016-03-15","WSH","L",15.42,0,0,0,9,7,5,0.33,1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,35.02,27.24,19.46,1.3,4.76,3.89,NA,1,0,0,0
"47","ALEX.OVECHKIN","2016-03-12","WSH","L",15.34,0,0,0,3,0,0,0,0,0,0,0,0,5,3,1,1,2,0,0,0,0,0,0,0,11.73,0,0,0,NA,0,NA,0,NA,0,NA
"48","ALEX.OVECHKIN","2016-03-09","WSH","L",17.47,0,1,0,4,3,3,0.54,2,0,0,0,0,4,1,1,0,1,1,1,1,0,3.43,3.43,0,13.74,10.3,10.3,1.85,17.95,6.87,NA,0,0,0,0
"49","ALEX.OVECHKIN","2016-03-07","WSH","L",12.09,0,0,0,1,1,0,0.05,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,4.96,4.96,0,0.25,5.11,0,NA,-1,NA,0,0
"50","ALEX.OVECHKIN","2016-03-05","WSH","L",13.59,0,0,1,3,1,1,0.02,0,0,0,1,1,4,0,1,0,0,1,1,0,0,4.42,4.42,0,13.25,4.42,4.42,0.08,1.84,0,NA,0,0,0,0
"51","ALEX.OVECHKIN","2016-03-04","WSH","L",14.36,0,0,0,2,1,1,0.03,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.36,4.18,4.18,0.13,3.02,0,NA,0,0,0,0
"52","ALEX.OVECHKIN","2016-03-02","WSH","L",11.36,1,0,0,4,4,3,0.23,1,0,0,0,0,1,1,2,0,0,0,1,1,5.28,0,5.28,5.28,21.13,21.13,15.85,1.19,5.64,5.28,NA,0,33.33,25,25
"53","ALEX.OVECHKIN","2016-03-01","WSH","L",13.27,0,0,0,4,3,2,0.08,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,18.09,13.56,9.04,0.36,2.63,0,NA,0,0,0,0
"54","ALEX.OVECHKIN","2016-02-28","WSH","L",13.22,0,0,0,3,3,3,0.21,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,13.62,13.62,13.62,0.95,6.96,4.54,NA,0,0,0,0
"55","ALEX.OVECHKIN","2016-02-26","WSH","L",17.83,0,0,1,7,4,3,0.3,1,0,0,0,0,3,0,2,0,0,1,1,0,0,3.37,3.37,0,23.56,13.46,10.1,0.99,7.38,3.37,NA,0,0,0,0
"56","ALEX.OVECHKIN","2016-02-24","WSH","L",14.37,0,0,1,3,1,1,0.09,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4.18,4.18,0,12.53,4.18,4.18,0.38,8.98,0,NA,0,0,0,0
"57","ALEX.OVECHKIN","2016-02-22","WSH","L",14.24,1,0,0,6,4,3,0.09,0,0,0,2,0,0,1,0,0,2,0,1,1,4.21,0,4.21,4.21,25.28,16.85,12.64,0.36,2.16,0,NA,-2,33.33,16.67,25
"58","ALEX.OVECHKIN","2016-02-20","WSH","L",15.2,1,0,1,8,5,4,0.39,2,0,0,0,0,2,1,0,0,0,1,2,1,3.95,3.95,7.89,3.95,31.58,19.74,15.79,1.55,7.85,7.89,NA,0,25,12.5,20
"59","ALEX.OVECHKIN","2016-02-18","WSH","L",12.53,1,0,0,6,4,3,0.35,2,0,0,0,0,3,3,0,0,0,0,1,1,4.79,0,4.79,4.79,28.73,19.15,14.37,1.68,8.75,9.58,NA,0,33.33,16.67,25
